Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Type
810.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,9000000,Builder_Floor
270.0,1,1.0,Semi-Furnished,Other,1.0,2300000,Builder_Floor
900.0,3,2.0,Semi-Furnished,Laxmi Nagar,1.0,6000000,Builder_Floor
1000.0,3,2.0,Unfurnished,Laxmi Nagar,1.0,6000000,Apartment
950.0,3,2.0,Furnished,Other,1.0,4370000,Apartment
1000.0,3,2.0,Unfurnished,Other,1.0,4620000,Apartment
540.0,2,2.0,Semi-Furnished,Other,1.0,3000000,Apartment
540.0,2,2.0,Semi-Furnished,Other,1.0,3300000,Apartment
1000.0,3,2.0,Semi-Furnished,Other,1.0,5510000,Builder_Floor
500.0,2,2.0,Semi-Furnished,Other,1.0,3200000,Builder_Floor
540.0,2,2.0,Semi-Furnished,Other,1.0,2600000,Builder_Floor
780.0,3,2.0,Semi-Furnished,Other,1.0,4000000,Builder_Floor
450.0,2,1.0,Semi-Furnished,Other,1.0,1850000,Builder_Floor
360.0,1,1.0,Semi-Furnished,Other,1.0,1700000,Builder_Floor
900.0,3,2.0,Semi-Furnished,Other,1.0,2800000,Builder_Floor
495.0,2,2.0,Semi-Furnished,Other,1.0,2150000,Builder_Floor
1200.0,4,3.0,Semi-Furnished,Other,1.0,6800000,Builder_Floor
1000.0,3,2.0,Semi-Furnished,Other,1.0,6200000,Builder_Floor
620.0,2,2.0,Semi-Furnished,Other,1.0,3100000,Builder_Floor
680.0,3,2.0,Semi-Furnished,Other,1.0,3400000,Builder_Floor
805.0,2,2.0,Unfurnished,Other,1.0,4000000,Builder_Floor
729.0,2,2.0,Semi-Furnished,Other,1.0,4800000,Builder_Floor
540.0,2,2.0,Semi-Furnished,Other,1.0,2500000,Builder_Floor
360.0,1,1.0,Semi-Furnished,Other,1.0,2000000,Builder_Floor
550.0,2,2.0,Semi-Furnished,Other,1.0,1900000,Builder_Floor
1001.0,3,2.0,Furnished,Other,1.0,5800000,Builder_Floor
450.0,2,2.0,Unfurnished,Other,1.0,2900000,Builder_Floor
550.0,2,1.0,Semi-Furnished,Other,1.0,2000000,Builder_Floor
550.0,2,2.0,Semi-Furnished,Other,1.0,2600000,Builder_Floor
675.0,2,1.0,Unfurnished,Other,1.0,2900000,Builder_Floor
